iso3,name,region,income_group,overall_centrality,nn_centrality,n_centrality,ed_centrality,ing_centrality,n_partners,n_agreements,avg_enforceable,max_enforceable,overall_rank,nn_rank,n_rank,ed_rank,ing_rank
URY,URY,LAC,Developed,0.00320017837088938,0.0015228775497981356,0.003608835085628905,0.002795373990725879,0.005677670168306158,19,9,65.66666666666667,195,180,177,158,139,160
CUB,CUB,LAC,Developing,0.002875490658990765,0.000852496485580097,0.003727999245004032,0.0007575853506539287,0.004900718916571877,45,5,28.8,59,181,186,157,150,165
TJK,TJK,ECA,Developing,0.002859871129997846,0.0030695671764994535,0.0029408921946398017,1.5470751448833892e-05,0.005660507610172375,11,3,65.33333333333333,108,182,165,165,201,161
AZE,Azerbaijan,ECA,Developing,0.0028568796451244505,0.0018112680886843702,0.005209953375792282,1.2569985552177342e-05,0.005652014711864563,11,5,49.4,108,183,173,151,202,162
TKM,TKM,ECA,Developing,0.0028562148707081477,0.0016678300462993874,0.002995121326693219,1.1925370908475573e-05,0.005650127401129496,11,5,51.2,108,184,174,163,203,163
UZB,Uzbekistan,ECA,Developing,0.0028542205474592183,0.0030658973533880455,0.0029863274133872606,9.991526977371782e-06,0.00564446546892428,11,4,53.75,108,185,166,164,204,164
BEN,BEN,SSA,Developing,0.0028493824043116967,0.0010604836650516493,0.02214165817957418,0.0005325473722228321,0.01059815727797979,53,3,58.333333333333336,103,186,180,121,155,147
PAK,Pakistan,SAS,Developing,0.0025189643851452376,0.0012777666390221126,0.007347319318875435,0.0005325473722228321,0.004451258473716102,49,11,53.36363636363637,181,187,178,142,155,168
IRN,Iran,MENA,Developing,0.002494813851692032,0.0009386704443342239,0.006344760391828866,0.0005744473240634225,0.004767564924006582,48,3,64.33333333333333,130,188,184,148,153,166
MNG,MNG,EAP,Developing,0.002345206948306464,0.0023498616089404492,0.002477467517900677,0.002480880549929843,0.0007324700722751574,1,1,240.0,240,189,170,167,140,181
PRY,PRY,LAC,Developing,0.0023406081860627083,0.0009303322675540413,0.002189008984594359,0.0005224264100956775,0.004438033195261778,19,9,44.0,150,190,185,169,158,170
LKA,Sri Lanka,SAS,Developing,0.0020329691281299137,0.0010247289851283963,0.0048430418744401385,0.0009233525641453098,0.0030575680943330376,48,8,38.0,53,191,182,152,143,174
BGD,Bangladesh,SAS,Developing,0.0020318130148304866,0.0010508552646574095,0.004404330092426217,0.0009233525641453098,0.003054493525749409,48,7,29.571428571428573,52,192,181,154,143,175
IRQ,Iraq,MENA,Developing,0.0015316515165366333,0.0011018177881672061,0.003975238223962574,0.0005358612642548391,0.0026946583228369273,52,2,10.5,11,193,179,156,154,177
PRK,PRK,EAP,Developing,0.0014563546206562386,0.000966749571217181,0.0023618926041194463,0.0005325473722228321,0.002571352438390063,42,1,11.0,11,194,183,168,155,179
GMB,GMB,SSA,Developing,0.001447565808306746,0.0005412636379526319,0.01948905821275626,0.0,0.008277102947763976,14,1,103.0,103,195,189,122,206,154
FSM,FSM,EAP,Developing,0.0003641638638384373,0.0002379369527779323,0.00022212186614612385,0.00012007678609158453,0.0005730923977525583,14,2,26.5,36,196,190,185,189,183
COK,COK,EAP,Unknown,0.0003641638638384373,0.00018465504127607993,0.00022156130803663518,0.00012007678609158453,0.0004662044928989823,14,3,17.666666666666668,36,196,191,187,189,188
